dataset,encoding,n_svd,d_out,erank,erank_norm,kappa,log10_kappa,noise_delta,accuracy_mean,accuracy_ci95,best_classical_acc,best_classical_method,raw_linear_acc,acc_gap_vs_raw,acc_gap_vs_best
wine,amplitude,142,16,1.3751,0.0859,6650.853021,3.822877,5e-06,0.627778,0.062654,0.977778,raw_linear,0.977778,-0.35,-0.35
wine,angle,142,26,16.0041,0.6155,26.898263,1.429724,0.005919,0.972222,0.042241,0.977778,raw_linear,0.977778,-0.005555,-0.005555
wine,basis,142,104,77.0907,0.7413,108.7261,2.036334,0.298362,0.916667,0.024388,0.977778,raw_linear,0.977778,-0.061111,-0.061111
breast_cancer,amplitude,455,32,1.6433,0.0514,766520.211307,5.884524,5e-06,0.778948,0.029226,0.975438,torch_mlp,0.973684,-0.194736,-0.196491
breast_cancer,angle,455,60,18.433,0.3072,1092.732266,3.038514,0.123797,0.977193,0.018225,0.975438,torch_mlp,0.973684,0.003509,0.001754
breast_cancer,basis,455,240,175.9255,0.733,2679.616327,3.428073,0.522159,0.940351,0.009112,0.975438,torch_mlp,0.973684,-0.033333,-0.035088
dry_bean,amplitude,2000,16,1.0388,0.0649,5722621161.13851,9.757595,0.0,0.260375,,0.929269,torch_mlp,0.921704,-0.661329,-0.668894
dry_bean,angle,2000,32,6.8736,0.2148,14250.994618,4.153845,0.149148,0.925376,0.006492,0.929269,torch_mlp,0.921704,0.003672,-0.003893
dry_bean,basis,2000,128,90.536,0.7073,3172.541991,3.501407,0.373932,0.916856,0.003613,0.929269,torch_mlp,0.921704,-0.004848,-0.012413
credit_card_fraud,amplitude,2000,32,17.1471,0.5358,103.153314,2.013483,0.000435,0.998803,0.000109,0.999456,mlp,0.99914,-0.000337,-0.000653
credit_card_fraud,angle,2000,58,7.1424,0.1231,12034.039294,4.080411,0.000648,0.999091,4.9e-05,0.999456,mlp,0.99914,-4.9e-05,-0.000365
credit_card_fraud,basis,2000,232,130.0291,0.5605,2200.507082,3.342523,0.153623,0.999315,9.6e-05,0.999456,mlp,0.99914,0.000176,-0.000141
fashion_mnist,amplitude,2000,1024,339.6261,0.3317,436199.998841,5.639686,0.002067,0.8209,0.011576,0.8592,torch_mlp,0.7973,0.0236,-0.0383
fashion_mnist,angle,2000,1568,636.6235,0.406,172611313.817127,8.237069,0.140324,0.8232,0.005261,0.8592,torch_mlp,0.7973,0.0259,-0.036
fashion_mnist,basis,2000,6272,1641.3425,0.2617,142.430853,2.153604,2.171595,0.8192,0.00809,0.8592,torch_mlp,0.7973,0.0219,-0.04
cifar10,amplitude,2000,4096,460.9488,0.1125,30515.40284,4.484519,0.001489,0.3781,0.014403,0.4573,rbf_svm,0.2755,0.1026,-0.0792
cifar10,angle,2000,6144,825.0574,0.1343,1988.044529,3.298426,0.123122,0.3057,0.010614,0.4573,rbf_svm,0.2755,0.0302,-0.1516
cifar10,basis,2000,24576,1800.2574,0.0733,106.813724,2.028627,5.382892,0.3276,0.011273,0.4573,rbf_svm,0.2755,0.0521,-0.1297
higgs,amplitude,2000,32,21.0994,0.6594,46.581081,1.66821,0.000614,0.64275,0.001332,0.748414,torch_mlp,0.641384,0.001366,-0.105664
higgs,angle,2000,56,27.3132,0.4877,849.853807,2.929344,0.002796,0.65796,0.000955,0.748414,torch_mlp,0.641384,0.016576,-0.090454
higgs,basis,2000,224,149.7538,0.6685,390.774344,2.591926,0.298496,0.66942,0.002162,0.748414,torch_mlp,0.641384,0.028036,-0.078994
high_dim_parity,amplitude,2000,32,19.9795,0.6244,1.172591,0.069147,0.00121,0.4887,0.010587,0.5189,torch_mlp,0.4897,-0.001,-0.0302
high_dim_parity,angle,2000,40,33.4804,0.837,10.175213,1.007544,0.004994,0.5009,0.005402,0.5189,torch_mlp,0.4897,0.0112,-0.018
high_dim_parity,basis,2000,160,140.6985,0.8794,17.454526,1.241908,0.374333,0.5056,0.014608,0.5189,torch_mlp,0.4897,0.0159,-0.0133
high_rank_noise,amplitude,2000,256,197.3295,0.7708,2.220082,0.346369,0.000352,0.795,0.017756,0.7952,rbf_svm,0.7908,0.0042,-0.0002
high_rank_noise,angle,2000,400,246.3052,0.6158,186.283744,2.270175,0.002156,0.78,0.020795,0.7952,rbf_svm,0.7908,-0.0108,-0.0152
high_rank_noise,basis,2000,1600,1226.6979,0.7667,550.666882,2.740889,0.533151,0.699,0.018142,0.7952,rbf_svm,0.7908,-0.0918,-0.0962
covertype,amplitude,2000,64,3.2376,0.0506,531728.409125,5.72569,1e-06,0.5865,0.004025,0.85862,mlp,0.72,-0.1335,-0.27212
covertype,angle,2000,108,24.8198,0.2298,361.099661,2.557627,0.09884,0.72544,0.005408,0.85862,mlp,0.72,0.00544,-0.13318
covertype,basis,2000,432,89.6198,0.2075,625.848747,2.796469,0.346194,0.72428,0.006127,0.85862,mlp,0.72,0.00428,-0.13434
